nome,idade,senha,cargo,salario,tempo
Ana,54,0000,Açougueiro,2212.54,6.2
Bruno,40,3436,Segurança,2704.88,4.5
Carlos,37,6522,Caixa,2274.07,13.8
Daniela,37,3479,Repositor,1890.41,6.3
Eduardo,47,2346,Estoquista,2159.78,18.5
Fernanda,38,2546,Estoquista,2540.72,9.3
Gustavo,55,2447,Caixa,2417.25,17.5
Helena,49,2948,Assistente Administrativo,2522.15,2.1
Igor,56,2582,Gerente,5705.51,7.4
Juliana,32,4883,Padeiro,2542.25,13.4
Kleber,20,5553,Estagiario,2557.11,0.2
Larissa,52,5792,Operador de Caixa,2283.7,9.3
Marcos,46,4788,Segurança,2622.17,12.2
Natalia,19,2224,Estagiario,2463.4,0.6
Olavo,30,3335,Caixa,1839.93,2.5
Paula,46,6664,Repositor,1700.0,9.3
Renato,23,7778,Padeiro,2629.33,9.1
Simone,52,4444,Estoquista,2124.66,17.7
Tiago,24,2577,Estoquista,2191.27,1.9
Ursula,41,2422,Assistente Administrativo,1954.36,9.0
Vanessa,41,4578,Estoquista,1901.49,14.1
Wagner,37,7442,Operador de Caixa,2355.37,8.3
Xavier,60,6444,Estoquista,1868.65,16.2
Yara,44,2467,Operador de Caixa,2163.42,14.7
Zeca,57,4422,Segurança,2649.57,7.6
